Year,Level,Group,Degrees
2011,Associates,US Cit Perm Res,1910624
2011,Associates,Nonresident Alien,33468
2011,Bachelors,US Cit Perm Res,3542036
2011,Bachelors,Nonresident Alien,113542
2011,Masters,US Cit Perm Res,1316176
2011,Masters,Nonresident Alien,175722
2011,PhD,US Cit Perm Res,87484
2011,PhD,Nonresident Alien,32818
2012,Bachelors,US Cit Perm Res,3693490
2012,Bachelors,Nonresident Alien,128034
2012,Masters,US Cit Perm Res,1360382
2012,Masters,Nonresident Alien,180734
2012,PhD,US Cit Perm Res,91472
2012,PhD,Nonresident Alien,33842
2012,Associates,US Cit Perm Res,2031880
2012,Associates,Nonresident Alien,34634
2013,Bachelors,US Cit Perm Res,3780248
2013,Bachelors,Nonresident Alien,140670
2013,Masters,US Cit Perm Res,1343000
2013,Masters,Nonresident Alien,192332
2013,PhD,US Cit Perm Res,95430
2013,PhD,Nonresident Alien,35500
2013,Associates,US Cit Perm Res,2001388
2013,Associates,Nonresident Alien,33820
2014,Bachelors,US Cit Perm Res,3827906
2014,Bachelors,Nonresident Alien,150756
2014,Masters,US Cit Perm Res,1328304
2014,Masters,Nonresident Alien,210872
2014,PhD,US Cit Perm Res,99080
2014,PhD,Nonresident Alien,36750
2014,Associates,US Cit Perm Res,1997986
2014,Associates,Nonresident Alien,34246
2015,Bachelors,US Cit Perm Res,3866584
2015,Bachelors,Nonresident Alien,163626
2015,Masters,US Cit Perm Res,1309602
2015,Masters,Nonresident Alien,237706
2015,PhD,US Cit Perm Res,102136
2015,PhD,Nonresident Alien,36658
2015,Associates,US Cit Perm Res,2017934
2015,Associates,Nonresident Alien,36010
2016,Bachelors,US Cit Perm Res,3901188
2016,Bachelors,Nonresident Alien,182286
2016,Masters,US Cit Perm Res,1325862
2016,Masters,Nonresident Alien,275730
2016,PhD,US Cit Perm Res,103438
2016,PhD,Nonresident Alien,37222
2016,Associates,US Cit Perm Res,2005528
2016,Associates,Nonresident Alien,38866
2017,Bachelors,US Cit Perm Res,3960992
2017,Bachelors,Nonresident Alien,197494
2017,Masters,US Cit Perm Res,1342700
2017,Masters,Nonresident Alien,293602
2017,PhD,US Cit Perm Res,105324
2017,PhD,Nonresident Alien,37874
2017,Associates,US Cit Perm Res,1997104
2017,Associates,Nonresident Alien,42022
2018,Bachelors,US Cit Perm Res,4007570
2018,Bachelors,Nonresident Alien,211724
2018,Masters,US Cit Perm Res,1377798
2018,Masters,Nonresident Alien,294522
2018,PhD,US Cit Perm Res,106832
2018,PhD,Nonresident Alien,39612
2018,Associates,US Cit Perm Res,2009346
2018,Associates,Nonresident Alien,46452
2019,Bachelors,US Cit Perm Res,4055854
2019,Bachelors,Nonresident Alien,220366
2019,Masters,US Cit Perm Res,1417954
2019,Masters,Nonresident Alien,278674
2019,PhD,US Cit Perm Res,108236
2019,PhD,Nonresident Alien,40812
2019,Associates,US Cit Perm Res,2044234
2019,Associates,Nonresident Alien,49030
2020,Bachelors,US Cit Perm Res,4098932
2020,Bachelors,Nonresident Alien,229880
2020,Masters,US Cit Perm Res,1438854
2020,Masters,Nonresident Alien,277792
2020,PhD,US Cit Perm Res,107708
2020,PhD,Nonresident Alien,41154
2020,Associates,US Cit Perm Res,2008096
2020,Associates,Nonresident Alien,47256
2021,Bachelors,US Cit Perm Res,4158804
2021,Bachelors,Nonresident Alien,223232
2021,Masters,US Cit Perm Res,1505582
2021,Masters,Nonresident Alien,262052
2021,PhD,US Cit Perm Res,106878
2021,PhD,Nonresident Alien,40150
2021,Associates,US Cit Perm Res,2044784
2021,Associates,Nonresident Alien,44018
2022,Bachelors,US Cit Perm Res,4070432
2022,Bachelors,Nonresident Alien,206552
2022,Masters,US Cit Perm Res,1559254
2022,Masters,Nonresident Alien,235068
2022,PhD,US Cit Perm Res,116904
2022,PhD,Nonresident Alien,44252
2022,Associates,US Cit Perm Res,1996140
2022,Associates,Nonresident Alien,37720
2023,Bachelors,US Cit Perm Res,3970832
2023,Bachelors,Nonresident Alien,192094
2023,Masters,US Cit Perm Res,1563554
2023,Masters,Nonresident Alien,337632
2023,PhD,US Cit Perm Res,121162
2023,PhD,Nonresident Alien,44028
2023,Associates,US Cit Perm Res,1902326
2023,Associates,Nonresident Alien,33388
2024,Bachelors,US Cit Perm Res,3954100
2024,Bachelors,Nonresident Alien,176052
2024,Masters,US Cit Perm Res,1511620
2024,Masters,Nonresident Alien,391462
2024,PhD,US Cit Perm Res,126940
2024,PhD,Nonresident Alien,43906
2024,Associates,US Cit Perm Res,1963660
2024,Associates,Nonresident Alien,35940
